cell_type,sex,ann_level_4,0
mesothelial cell,female,Adventitial fibroblasts,0
mesothelial cell,female,Alveolar fibroblasts,0
mesothelial cell,female,Alveolar macrophages,0
mesothelial cell,female,B cells,0
mesothelial cell,female,Basal resting,0
mesothelial cell,female,CD4 T cells,0
mesothelial cell,female,CD8 T cells,0
mesothelial cell,female,Classical monocytes,0
mesothelial cell,female,Club,0
mesothelial cell,female,DC1,0
mesothelial cell,female,DC2,0
mesothelial cell,female,Deuterosomal,0
mesothelial cell,female,EC aerocyte capillary,0
mesothelial cell,female,EC general capillary,0
mesothelial cell,female,EC venous pulmonary,0
mesothelial cell,female,EC venous systemic,0
mesothelial cell,female,Goblet,0
mesothelial cell,female,Hillock-like,0
mesothelial cell,female,Interstitial macrophages,0
mesothelial cell,female,Ionocyte,0
mesothelial cell,female,Migratory DCs,0
mesothelial cell,female,Multiciliated,0
mesothelial cell,female,NK cells,0
mesothelial cell,female,Neuroendocrine,0
mesothelial cell,female,Non-classical monocytes,0
mesothelial cell,female,None,7
mesothelial cell,female,Peribronchial fibroblasts,0
mesothelial cell,female,Pericytes,0
mesothelial cell,female,Plasma cells,0
mesothelial cell,female,Plasmacytoid DCs,0
mesothelial cell,female,SMG duct,0
mesothelial cell,female,SMG mucous,0
mesothelial cell,female,SMG serous,0
mesothelial cell,female,Subpleural fibroblasts,0
mesothelial cell,female,Suprabasal,0
mesothelial cell,female,T cells proliferating,0
mesothelial cell,female,Transitional Club-AT2,0
mesothelial cell,female,Tuft,0
mesothelial cell,male,AT2 proliferating,0
mesothelial cell,male,Adventitial fibroblasts,0
mesothelial cell,male,Alveolar fibroblasts,0
mesothelial cell,male,Alveolar macrophages,0
mesothelial cell,male,B cells,0
mesothelial cell,male,Basal resting,0
mesothelial cell,male,CD4 T cells,0
mesothelial cell,male,CD8 T cells,0
mesothelial cell,male,Classical monocytes,0
mesothelial cell,male,Club,0
mesothelial cell,male,DC1,0
mesothelial cell,male,DC2,0
mesothelial cell,male,Deuterosomal,0
mesothelial cell,male,EC aerocyte capillary,0
mesothelial cell,male,EC general capillary,0
mesothelial cell,male,EC venous pulmonary,0
mesothelial cell,male,EC venous systemic,0
mesothelial cell,male,Goblet,0
mesothelial cell,male,Hillock-like,0
mesothelial cell,male,Interstitial macrophages,0
mesothelial cell,male,Ionocyte,0
mesothelial cell,male,Migratory DCs,0
mesothelial cell,male,Multiciliated,0
mesothelial cell,male,NK cells,0
mesothelial cell,male,Neuroendocrine,0
mesothelial cell,male,Non-classical monocytes,0
mesothelial cell,male,None,223
mesothelial cell,male,Peribronchial fibroblasts,0
mesothelial cell,male,Pericytes,0
mesothelial cell,male,Plasma cells,0
mesothelial cell,male,Plasmacytoid DCs,0
mesothelial cell,male,SMG duct,0
mesothelial cell,male,SMG mucous,0
mesothelial cell,male,SMG serous,0
mesothelial cell,male,Subpleural fibroblasts,0
mesothelial cell,male,Suprabasal,0
mesothelial cell,male,T cells proliferating,0
mesothelial cell,male,Transitional Club-AT2,0
mesothelial cell,male,Tuft,0
T cell,female,AT2 proliferating,0
T cell,female,Adventitial fibroblasts,0
T cell,female,Alveolar fibroblasts,0
T cell,female,Alveolar macrophages,0
T cell,female,B cells,0
T cell,female,Basal resting,0
T cell,female,CD4 T cells,0
T cell,female,CD8 T cells,0
T cell,female,Classical monocytes,0
T cell,female,Club,0
T cell,female,DC1,0
T cell,female,DC2,0
T cell,female,Deuterosomal,0
T cell,female,EC aerocyte capillary,0
T cell,female,EC general capillary,0
T cell,female,EC venous pulmonary,0
T cell,female,EC venous systemic,0
T cell,female,Goblet,0
T cell,female,Hillock-like,0
T cell,female,Interstitial macrophages,0
T cell,female,Ionocyte,0
T cell,female,Migratory DCs,0
T cell,female,Multiciliated,0
T cell,female,NK cells,0
T cell,female,Neuroendocrine,0
T cell,female,Non-classical monocytes,0
T cell,female,None,0
T cell,female,Peribronchial fibroblasts,0
T cell,female,Pericytes,0
T cell,female,Plasma cells,0
T cell,female,Plasmacytoid DCs,0
T cell,female,SMG duct,0
T cell,female,SMG mucous,0
T cell,female,SMG serous,0
T cell,female,Subpleural fibroblasts,0
T cell,female,Suprabasal,0
T cell,female,T cells proliferating,378
T cell,female,Transitional Club-AT2,0
T cell,female,Tuft,0
T cell,male,AT2 proliferating,0
T cell,male,Adventitial fibroblasts,0
T cell,male,Alveolar fibroblasts,0
T cell,male,Alveolar macrophages,0
T cell,male,B cells,0
T cell,male,Basal resting,0
T cell,male,CD4 T cells,0
T cell,male,CD8 T cells,0
T cell,male,Classical monocytes,0
T cell,male,Club,0
T cell,male,DC1,0
T cell,male,DC2,0
T cell,male,Deuterosomal,0
T cell,male,EC aerocyte capillary,0
T cell,male,EC general capillary,0
T cell,male,EC venous pulmonary,0
T cell,male,EC venous systemic,0
T cell,male,Goblet,0
T cell,male,Hillock-like,0
T cell,male,Interstitial macrophages,0
T cell,male,Ionocyte,0
T cell,male,Migratory DCs,0
T cell,male,Multiciliated,0
T cell,male,NK cells,0
