names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000170128,3.845642,1.2163212,0.0001202371964627,0.0009852418694944
ENSG00000035664,3.2221448,0.9648102,0.0012723477111376,0.0086188717082239
ENSG00000134545,7.6638885,0.93997383,1.8038680641119424e-14,4.715634200435923e-13
ENSG00000213949,4.507846,0.90840554,6.54891891863962e-06,6.524241158050363e-05
ENSG00000168685,37.099243,0.8974882,2.88942006363355e-301,1.3060178687623646e-298
ENSG00000206560,13.254744,0.8396854,4.23563527678804e-40,4.269764136572231e-38
ENSG00000143153,4.4631267,0.8187391,8.077235272695063e-06,7.945119034117461e-05
ENSG00000106952,4.637542,0.80791485,3.525771080020396e-06,3.663559834871768e-05
ENSG00000172215,8.39383,0.7990896,4.705552030161435e-17,1.5280230601766405e-15
ENSG00000090104,24.13492,0.7898579,1.0752468073973836e-128,2.4106173224403418e-126
