names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000137441,45.06081,2.9557722,0.0,0.0
ENSG00000105374,86.259995,2.8741553,0.0,0.0
ENSG00000115523,63.11005,2.8038182,0.0,0.0
ENSG00000100450,65.75451,2.6948907,0.0,0.0
ENSG00000150045,20.487293,2.5660555,2.79510887273938e-93,1.0730154938307996e-90
ENSG00000134539,60.430355,2.5538309,0.0,0.0
ENSG00000203747,32.4385,2.5078824,7.868875690395892e-231,1.0023516924893387e-227
ENSG00000180739,25.84205,2.4286745,2.9890453063496934e-147,1.903750128753268e-144
ENSG00000100453,59.087452,2.4170792,0.0,0.0
ENSG00000150687,16.217068,2.3640757,3.8200699659469213e-59,9.390670239096187e-57
