cell_type,sex,ann_level_2,0
smooth muscle cell,female,Submucosal Gland,0
smooth muscle cell,male,Airway epithelium,0
smooth muscle cell,male,Alveolar epithelium,0
smooth muscle cell,male,Blood vessels,0
smooth muscle cell,male,Fibroblast lineage,0
smooth muscle cell,male,Hematopoietic stem cells,0
smooth muscle cell,male,Lymphatic EC,0
smooth muscle cell,male,Lymphoid,0
smooth muscle cell,male,Mesothelium,0
smooth muscle cell,male,Myeloid,0
smooth muscle cell,male,Smooth muscle,404
smooth muscle cell,male,Submucosal Gland,0
B cell,female,Airway epithelium,0
B cell,female,Alveolar epithelium,0
B cell,female,Blood vessels,0
B cell,female,Fibroblast lineage,0
B cell,female,Hematopoietic stem cells,0
B cell,female,Lymphatic EC,0
B cell,female,Lymphoid,1639
B cell,female,Mesothelium,0
B cell,female,Myeloid,0
B cell,female,Smooth muscle,0
B cell,female,Submucosal Gland,0
B cell,male,Airway epithelium,0
B cell,male,Alveolar epithelium,0
B cell,male,Blood vessels,0
B cell,male,Fibroblast lineage,0
B cell,male,Hematopoietic stem cells,0
B cell,male,Lymphatic EC,0
B cell,male,Lymphoid,2872
B cell,male,Mesothelium,0
B cell,male,Myeloid,0
B cell,male,Smooth muscle,0
B cell,male,Submucosal Gland,0
serous secreting cell,female,Airway epithelium,0
serous secreting cell,female,Alveolar epithelium,0
serous secreting cell,female,Blood vessels,0
serous secreting cell,female,Fibroblast lineage,0
serous secreting cell,female,Hematopoietic stem cells,0
serous secreting cell,female,Lymphatic EC,0
serous secreting cell,female,Lymphoid,0
serous secreting cell,female,Mesothelium,0
serous secreting cell,female,Myeloid,0
serous secreting cell,female,Smooth muscle,0
serous secreting cell,female,Submucosal Gland,1115
serous secreting cell,male,Airway epithelium,0
serous secreting cell,male,Alveolar epithelium,0
serous secreting cell,male,Blood vessels,0
serous secreting cell,male,Fibroblast lineage,0
serous secreting cell,male,Hematopoietic stem cells,0
serous secreting cell,male,Lymphatic EC,0
serous secreting cell,male,Lymphoid,0
serous secreting cell,male,Mesothelium,0
serous secreting cell,male,Myeloid,0
serous secreting cell,male,Smooth muscle,0
serous secreting cell,male,Submucosal Gland,357
mucus secreting cell,female,Airway epithelium,0
mucus secreting cell,female,Alveolar epithelium,0
mucus secreting cell,female,Blood vessels,0
mucus secreting cell,female,Fibroblast lineage,0
mucus secreting cell,female,Hematopoietic stem cells,0
mucus secreting cell,female,Lymphatic EC,0
mucus secreting cell,female,Lymphoid,0
mucus secreting cell,female,Mesothelium,0
mucus secreting cell,female,Myeloid,0
mucus secreting cell,female,Smooth muscle,0
mucus secreting cell,female,Submucosal Gland,217
mucus secreting cell,male,Airway epithelium,0
mucus secreting cell,male,Alveolar epithelium,0
mucus secreting cell,male,Blood vessels,0
mucus secreting cell,male,Fibroblast lineage,0
mucus secreting cell,male,Hematopoietic stem cells,0
mucus secreting cell,male,Lymphatic EC,0
mucus secreting cell,male,Lymphoid,0
mucus secreting cell,male,Mesothelium,0
mucus secreting cell,male,Myeloid,0
mucus secreting cell,male,Smooth muscle,0
mucus secreting cell,male,Submucosal Gland,320
dendritic cell,female,Airway epithelium,0
dendritic cell,female,Alveolar epithelium,0
dendritic cell,female,Blood vessels,0
dendritic cell,female,Fibroblast lineage,0
dendritic cell,female,Hematopoietic stem cells,0
dendritic cell,female,Lymphatic EC,0
dendritic cell,female,Lymphoid,0
dendritic cell,female,Mesothelium,0
dendritic cell,female,Myeloid,139
dendritic cell,female,Smooth muscle,0
dendritic cell,female,Submucosal Gland,0
dendritic cell,male,Airway epithelium,0
dendritic cell,male,Alveolar epithelium,0
dendritic cell,male,Blood vessels,0
dendritic cell,male,Fibroblast lineage,0
dendritic cell,male,Hematopoietic stem cells,0
dendritic cell,male,Lymphatic EC,0
dendritic cell,male,Lymphoid,0
dendritic cell,male,Mesothelium,0
dendritic cell,male,Myeloid,173
dendritic cell,male,Smooth muscle,0
dendritic cell,male,Submucosal Gland,0
stromal cell,female,Airway epithelium,0
stromal cell,female,Alveolar epithelium,0
stromal cell,female,Blood vessels,0
stromal cell,female,Fibroblast lineage,0
stromal cell,female,Hematopoietic stem cells,0
stromal cell,female,Lymphatic EC,0
stromal cell,female,Lymphoid,0
stromal cell,female,Mesothelium,0
stromal cell,female,Myeloid,0
stromal cell,female,Smooth muscle,256
stromal cell,female,Submucosal Gland,0
stromal cell,male,Airway epithelium,0
stromal cell,male,Alveolar epithelium,0
stromal cell,male,Blood vessels,0
stromal cell,male,Fibroblast lineage,0
stromal cell,male,Hematopoietic stem cells,0
stromal cell,male,Lymphatic EC,0
stromal cell,male,Lymphoid,0
stromal cell,male,Mesothelium,0
stromal cell,male,Myeloid,0
stromal cell,male,Smooth muscle,79
stromal cell,male,Submucosal Gland,0
alveolar macrophage,female,Airway epithelium,0
alveolar macrophage,female,Alveolar epithelium,0
alveolar macrophage,female,Blood vessels,0
alveolar macrophage,female,Fibroblast lineage,0
alveolar macrophage,female,Hematopoietic stem cells,0
alveolar macrophage,female,Lymphatic EC,0
alveolar macrophage,female,Lymphoid,0
alveolar macrophage,female,Mesothelium,0
alveolar macrophage,female,Myeloid,22435
alveolar macrophage,female,Smooth muscle,0
alveolar macrophage,female,Submucosal Gland,0
alveolar macrophage,male,Airway epithelium,0
alveolar macrophage,male,Alveolar epithelium,0
alveolar macrophage,male,Blood vessels,0
alveolar macrophage,male,Fibroblast lineage,0
alveolar macrophage,male,Hematopoietic stem cells,0
alveolar macrophage,male,Lymphatic EC,0
alveolar macrophage,male,Lymphoid,0
alveolar macrophage,male,Mesothelium,0
alveolar macrophage,male,Myeloid,56381
alveolar macrophage,male,Smooth muscle,0
alveolar macrophage,male,Submucosal Gland,0
acinar cell,female,Airway epithelium,0
acinar cell,female,Alveolar epithelium,0
acinar cell,female,Blood vessels,0
acinar cell,female,Fibroblast lineage,0
acinar cell,female,Hematopoietic stem cells,0
acinar cell,female,Lymphatic EC,0
acinar cell,female,Lymphoid,0
acinar cell,female,Mesothelium,0
acinar cell,female,Myeloid,0
acinar cell,female,Smooth muscle,0
acinar cell,female,Submucosal Gland,393
acinar cell,male,Airway epithelium,0
acinar cell,male,Alveolar epithelium,0
acinar cell,male,Blood vessels,0
