names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000152253,5.3492627,7.4304442,8.831326971580962e-08,5.230116378943045e-07
ENSG00000123485,4.4339914,6.8229265,9.250432704135526e-06,4.66920255945054e-05
ENSG00000165480,3.632664,6.746971,0.0002805102444469,0.0012407268245161
ENSG00000139734,3.1764927,6.6322956,0.0014906751985091,0.0061083026411784
ENSG00000126787,5.8575253,6.612903,4.698151701842634e-09,3.019055338051776e-08
ENSG00000127564,6.892477,6.369473,5.482906330801427e-12,4.201612442285458e-11
ENSG00000089685,9.472638,6.269348,2.7286405676556347e-21,3.324670576868762e-20
ENSG00000129173,2.7904873,6.2572746,0.0052628769651509,0.0202591846251909
ENSG00000101057,3.9690669,6.1901765,7.215466274162234e-05,0.0003368980787522
ENSG00000157456,7.7421637,6.1006584,9.773914791631593e-15,8.62690356285618e-14
