cell_type,ann_level_1,0
pulmonary artery endothelial cell,Stroma,0
lung macrophage,Endothelial,0
lung macrophage,Epithelial,0
lung macrophage,Immune,4805
lung macrophage,Stroma,0
bronchus fibroblast of lung,Endothelial,0
bronchus fibroblast of lung,Epithelial,0
bronchus fibroblast of lung,Immune,0
bronchus fibroblast of lung,Stroma,1573
alveolar type 1 fibroblast cell,Endothelial,0
alveolar type 1 fibroblast cell,Epithelial,0
alveolar type 1 fibroblast cell,Immune,0
alveolar type 1 fibroblast cell,Stroma,5182
alveolar type 2 fibroblast cell,Endothelial,0
alveolar type 2 fibroblast cell,Epithelial,0
alveolar type 2 fibroblast cell,Immune,0
alveolar type 2 fibroblast cell,Stroma,10321
respiratory hillock cell,Endothelial,0
respiratory hillock cell,Epithelial,4600
respiratory hillock cell,Immune,0
respiratory hillock cell,Stroma,0
