names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000170128,3.845642,1.2163212,0.0001202371964627,0.0009852418694944
ENSG00000035664,3.2221448,0.9648102,0.0012723477111376,0.0086188717082239
ENSG00000134545,7.6638885,0.93997383,1.8038680641119424e-14,4.715634200435923e-13
ENSG00000213949,4.507846,0.90840554,6.54891891863962e-06,6.524241158050363e-05
ENSG00000168685,37.099243,0.8974882,2.88942006363355e-301,1.3060178687623646e-298
ENSG00000206560,13.254744,0.8396854,4.23563527678804e-40,4.269764136572231e-38
ENSG00000143153,4.4631267,0.8187391,8.077235272695063e-06,7.945119034117461e-05
ENSG00000106952,4.637542,0.80791485,3.525771080020396e-06,3.663559834871768e-05
ENSG00000172215,8.39383,0.7990896,4.705552030161435e-17,1.5280230601766405e-15
ENSG00000090104,24.13492,0.7898579,1.0752468073973836e-128,2.4106173224403418e-126
ENSG00000143184,9.831612,0.7332972,8.229145432211817e-23,3.915340774062885e-21
ENSG00000080546,5.120793,0.71927947,3.042539697869987e-07,3.661636843104173e-06
ENSG00000131981,15.322979,0.6783582,5.369893382937206e-53,6.809316387485622e-51
ENSG00000160593,8.595484,0.6674536,8.29145386843109e-18,2.8267603796704733e-16
ENSG00000168214,10.988901,0.65981233,4.321565775228398e-28,2.7904967577189084e-26
ENSG00000102007,21.600996,0.6428064,1.757847886925798e-103,3.469149942479477e-101
ENSG00000135916,5.4494505,0.63432693,5.0525730800691145e-08,6.732920018823435e-07
ENSG00000100906,30.367079,0.56145203,1.4951446712182938e-202,4.6043883809034585e-200
ENSG00000132965,21.351833,0.5594348,3.749397246760724e-101,7.246421271946382e-99
ENSG00000067082,35.533222,0.54699594,1.5090944883883145e-276,6.04155199179916e-274
ENSG00000137880,4.602201,0.5276666,4.1804928358445575e-06,4.302391892460811e-05
ENSG00000167106,2.96468,0.5273329,0.0030299786462254,0.0190728035898073
ENSG00000120875,5.0097666,0.5264757,5.4496144219194e-07,6.321191827809159e-06
ENSG00000185883,5.639994,0.51958996,1.7005590935580394e-08,2.4056773365911405e-07
ENSG00000185338,10.425123,0.4916729,1.9041280327466253e-25,1.0650954888161961e-23
ENSG00000139289,7.916386,0.48977682,2.445136504941065e-15,6.831755275619978e-14
ENSG00000170345,26.639156,0.4801197,2.390191620876787e-156,5.980600891379561e-154
ENSG00000228253,13.662401,0.47657087,1.7027605726718882e-42,1.8353139341752686e-40
ENSG00000112378,3.698499,0.4748912,0.0002168783253115,0.0016962875212202
ENSG00000102760,13.975324,0.4718066,2.205088485500396e-44,2.4328897526639008e-42
ENSG00000042493,7.048264,0.46975884,1.811634403462912e-12,3.960159323139208e-11
ENSG00000157514,41.334057,0.44033375,0.0,0.0
ENSG00000254772,10.937062,0.43866813,7.664347394559523e-28,4.915003921856661e-26
ENSG00000158517,4.1253695,0.4289398,3.7014022099155095e-05,0.0003292955413672
ENSG00000135842,4.9573336,0.42596245,7.14671844158991e-07,8.161354425717833e-06
ENSG00000026025,40.155148,0.41538054,0.0,0.0
ENSG00000133872,41.003574,0.4136953,0.0,0.0
ENSG00000152518,46.26938,0.4133018,0.0,0.0
ENSG00000156482,56.65003,0.41138172,0.0,0.0
ENSG00000149806,52.371212,0.41006657,0.0,0.0
ENSG00000111843,2.919971,0.40416098,0.0035006410006039,0.02174245642751
ENSG00000161016,48.20749,0.40405658,0.0,0.0
ENSG00000156127,7.5278625,0.39834282,5.157771363373879e-14,1.2871004869740837e-12
ENSG00000182899,46.903927,0.39740902,0.0,0.0
ENSG00000083845,41.45323,0.39222044,0.0,0.0
ENSG00000279483,28.93509,0.39163592,4.323024711839848e-184,1.211484445245999e-181
ENSG00000161970,44.801872,0.39124128,0.0,0.0
ENSG00000118181,48.3271,0.3898648,0.0,0.0
ENSG00000197958,45.415028,0.38631433,0.0,0.0
ENSG00000113580,7.231304,0.38380712,4.783780815813917e-13,1.0961624986293476e-11
ENSG00000110700,42.314953,0.38271052,0.0,0.0
ENSG00000164587,50.075985,0.37596613,0.0,0.0
ENSG00000143947,57.758984,0.37390384,0.0,0.0
ENSG00000198918,47.980274,0.37265843,0.0,0.0
ENSG00000105640,46.83901,0.37265182,0.0,0.0
ENSG00000162244,38.946846,0.370611,0.0,0.0
ENSG00000149273,53.655422,0.36951008,0.0,0.0
ENSG00000212907,21.255941,0.36935595,2.9047657877006337e-100,5.537629689423304e-98
ENSG00000063177,44.41743,0.3685161,0.0,0.0
ENSG00000108298,49.15542,0.36845133,0.0,0.0
ENSG00000110848,27.52597,0.36720076,8.584345112143776e-167,2.2274785872473813e-164
ENSG00000142937,42.67378,0.3669975,0.0,0.0
ENSG00000171863,43.240974,0.36667335,0.0,0.0
ENSG00000144713,50.754562,0.36288866,0.0,0.0
ENSG00000102245,3.6130393,0.36056215,0.0003026287604179,0.0023068760122932
ENSG00000134419,50.88875,0.35740677,0.0,0.0
ENSG00000186468,45.439632,0.35510838,0.0,0.0
ENSG00000233927,50.39923,0.35473078,0.0,0.0
ENSG00000145425,43.77068,0.3540065,0.0,0.0
ENSG00000142676,51.51828,0.35392514,0.0,0.0
ENSG00000133112,52.56366,0.35359788,0.0,0.0
ENSG00000115268,47.76865,0.35295168,0.0,0.0
ENSG00000108107,56.968105,0.3528106,0.0,0.0
ENSG00000120129,26.511673,0.35150248,7.109876375355829e-155,1.7632493410882457e-152
ENSG00000128016,31.700708,0.35056564,1.5191787816110685e-220,5.321683271983573e-218
ENSG00000138326,45.255547,0.34719044,0.0,0.0
ENSG00000213145,20.145548,0.3453699,2.944304120971833e-90,5.323301850717074e-88
ENSG00000198034,44.634304,0.34419364,0.0,0.0
ENSG00000112306,50.710983,0.3410765,0.0,0.0
ENSG00000109475,45.45883,0.33820656,0.0,0.0
ENSG00000163682,36.60248,0.3330377,2.611692473103014e-293,1.1435948416599822e-290
ENSG00000103187,16.138716,0.3327593,1.3634952720238528e-58,1.8459222948404086e-56
ENSG00000188846,42.288692,0.3268376,0.0,0.0
ENSG00000137818,59.378407,0.32431206,0.0,0.0
ENSG00000177600,43.56912,0.3167584,0.0,0.0
ENSG00000114391,38.099663,0.3160429,0.0,0.0
ENSG00000177954,54.292645,0.31375164,0.0,0.0
ENSG00000133639,47.395924,0.3134153,0.0,0.0
ENSG00000148303,42.2127,0.31244192,0.0,0.0
ENSG00000171858,39.88467,0.31184292,0.0,0.0
ENSG00000147403,55.70794,0.3106694,0.0,0.0
ENSG00000197747,31.580734,0.3104663,6.789793788127612e-219,2.349101001462817e-216
ENSG00000167526,51.776512,0.3074586,0.0,0.0
ENSG00000105193,35.296284,0.30386832,6.696608850367231e-273,2.6064689780929345e-270
ENSG00000130255,35.901093,0.30107453,2.937025280651609e-282,1.2470787343178893e-279
ENSG00000105372,48.536278,0.299475,0.0,0.0
ENSG00000231500,40.81472,0.2937125,0.0,0.0
ENSG00000198242,35.800606,0.29330465,1.0806801811540444e-280,4.520146477113573e-278
ENSG00000122026,28.35017,0.29125243,8.32966606192574e-177,2.244524631917374e-174
ENSG00000204628,35.527912,0.28711632,1.8228043024986777e-276,7.194685601862386e-274
ENSG00000096060,5.2985945,0.2854996,1.1669745984142309e-07,1.4804570459918698e-06
ENSG00000169508,4.8643575,0.285429,1.1482923387806031e-06,1.2759613204594616e-05
ENSG00000153283,6.85483,0.28457388,7.139749311981711e-12,1.4788199166221394e-10
ENSG00000152495,2.7479408,0.2834953,0.0059970825100406,0.0352405620174834
