names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000111863,7.3803635,4.1242323,1.57857718187611e-13,1.7416553915313424e-11
ENSG00000154027,4.1372523,4.122927,3.5148926618753905e-05,0.0016638741884526
ENSG00000182463,10.012928,3.896379,1.3373534992165634e-23,2.0706074288422637e-21
ENSG00000188404,24.48991,3.6601455,1.8920442666265312e-132,1.0396597750576846e-129
ENSG00000189283,6.3549876,3.5864148,2.084431894678193e-10,1.738515458823264e-08
ENSG00000172005,14.854327,3.42345,6.521950465834988e-50,1.5223118548744155e-47
ENSG00000126353,16.400597,3.202076,1.8936664572089142e-60,5.054105599697393e-58
ENSG00000138795,15.265424,3.0588813,1.2998146629750633e-52,3.167478792627232e-50
ENSG00000227507,29.708511,2.7537317,5.961701042630925e-194,1.1138047334579272e-190
ENSG00000136997,12.5311165,2.6700425,5.0447532718565894e-36,9.886305293042595e-34
