names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000137441,45.06081,2.9557722,0.0,0.0
ENSG00000105374,86.259995,2.8741553,0.0,0.0
ENSG00000115523,63.11005,2.8038182,0.0,0.0
ENSG00000100450,65.75451,2.6948907,0.0,0.0
ENSG00000150045,20.487293,2.5660555,2.79510887273938e-93,1.0730154938307996e-90
ENSG00000134539,60.430355,2.5538309,0.0,0.0
ENSG00000203747,32.4385,2.5078824,7.868875690395892e-231,1.0023516924893387e-227
ENSG00000180739,25.84205,2.4286745,2.9890453063496934e-147,1.903750128753268e-144
ENSG00000100453,59.087452,2.4170792,0.0,0.0
ENSG00000150687,16.217068,2.3640757,3.8200699659469213e-59,9.390670239096187e-57
ENSG00000205336,25.770287,2.3589425,1.9099463157687469e-146,1.1894296789578526e-143
ENSG00000116667,18.395168,2.2662494,1.4361665652918963e-75,4.42276173909232e-73
ENSG00000180644,58.767445,2.2575698,0.0,0.0
ENSG00000115956,30.297321,2.2108586,1.2433365637556117e-201,1.2014918573340437e-198
ENSG00000183734,10.589705,2.161695,3.326360638643786e-26,3.599147897195114e-24
ENSG00000181036,23.554607,2.1171825,1.1260351662631576e-122,5.9539640564827786e-120
ENSG00000077984,67.40821,2.0908391,0.0,0.0
ENSG00000243772,5.2376437,2.0894203,1.6263947223091185e-07,6.167535277130005e-06
ENSG00000104972,7.0026197,2.0630624,2.512203470702872e-12,1.4367753074076996e-10
ENSG00000021762,6.0630107,2.052499,1.3359682232693811e-09,6.208818157363373e-08
ENSG00000075234,17.42243,2.0093756,5.5758720305411454e-68,1.547111265186981e-65
ENSG00000125498,3.7933607,2.0009134,0.0001486220858705,0.0037897955727352
ENSG00000168329,11.965178,1.985493,5.4081564906904276e-33,7.286450841110988e-31
ENSG00000100321,5.93892,1.9807664,2.8690587159336472e-09,1.2926447179312626e-07
ENSG00000240403,4.72227,1.9766282,2.3322661676446733e-06,7.836861760440567e-05
ENSG00000189430,3.8692017,1.9492592,0.0001091922581407,0.0028438697417623
ENSG00000172543,55.83604,1.9250064,0.0,0.0
ENSG00000170962,4.4897237,1.915549,7.131556336742338e-06,0.0002238014947154
ENSG00000000938,15.234117,1.9075937,2.09945359609464e-52,4.596491216949702e-50
ENSG00000227191,31.094833,1.8907418,2.8287362714694657e-212,2.936018713765197e-209
ENSG00000187118,32.86834,1.8607281,6.23119113446178e-237,8.315376207245568e-234
ENSG00000275302,50.691303,1.8324302,0.0,0.0
ENSG00000160856,4.0507383,1.8278034,5.1056319107013465e-05,0.0013959046699072
ENSG00000145649,49.746326,1.7705472,0.0,0.0
ENSG00000167618,6.7549224,1.7633963,1.4291166446808428e-11,7.791744134345513e-10
ENSG00000167094,6.3559585,1.7438914,2.0713088477954158e-10,1.0291907650818924e-08
ENSG00000139187,30.53184,1.7122939,9.852139072141798e-205,9.860583762775064e-202
ENSG00000159674,26.388395,1.6954478,1.862008684012287e-153,1.373182404230535e-150
ENSG00000271503,59.11216,1.6693529,0.0,0.0
ENSG00000169583,15.953951,1.6548086,2.6742983151735696e-57,6.245377998702009e-55
ENSG00000153563,36.840324,1.6495155,4.1784358229633555e-297,7.318530343920317e-294
ENSG00000189409,3.3346877,1.6444774,0.0008539520988323,0.0191909812491405
ENSG00000163508,12.33501,1.6215689,5.868196869481551e-35,8.655281530018474e-33
ENSG00000251301,6.364471,1.6193533,1.9596375941940789e-10,9.789105871603364e-09
ENSG00000171617,5.1353903,1.6017672,2.815589302403153e-07,1.0395793756330166e-05
ENSG00000197872,3.4564168,1.5803927,0.0005474081511578,0.0126676845813763
ENSG00000196139,4.3104787,1.5528616,1.6290137623171426e-05,0.0004851379561655
ENSG00000159618,4.62423,1.5345361,3.7599290598890016e-06,0.0001220953093561
