names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000111863,7.3803635,4.1242323,1.57857718187611e-13,1.7416553915313424e-11
ENSG00000154027,4.1372523,4.122927,3.5148926618753905e-05,0.0016638741884526
ENSG00000182463,10.012928,3.896379,1.3373534992165634e-23,2.0706074288422637e-21
ENSG00000188404,24.48991,3.6601455,1.8920442666265312e-132,1.0396597750576846e-129
ENSG00000189283,6.3549876,3.5864148,2.084431894678193e-10,1.738515458823264e-08
ENSG00000172005,14.854327,3.42345,6.521950465834988e-50,1.5223118548744155e-47
ENSG00000126353,16.400597,3.202076,1.8936664572089142e-60,5.054105599697393e-58
ENSG00000138795,15.265424,3.0588813,1.2998146629750633e-52,3.167478792627232e-50
ENSG00000227507,29.708511,2.7537317,5.961701042630925e-194,1.1138047334579272e-190
ENSG00000136997,12.5311165,2.6700425,5.0447532718565894e-36,9.886305293042595e-34
ENSG00000072110,4.358545,2.6491902,1.3093020218650311e-05,0.0006707839097028
ENSG00000166681,5.995759,2.6042113,2.0253697855609933e-09,1.5593121667736617e-07
ENSG00000138449,3.1914513,2.5488746,0.0014155993685056,0.04625471870831
ENSG00000138640,3.4233124,2.503042,0.0006186290363493,0.0225441613974706
ENSG00000144426,22.07008,2.5005553,6.128325999546357e-108,2.770003351794953e-105
ENSG00000170293,4.732413,2.3553684,2.218665507994444e-06,0.0001246009663247
ENSG00000266402,9.317976,2.347404,1.1858020891348283e-20,1.7218092096328722e-18
ENSG00000213988,11.867158,2.2395513,1.7532273429229884e-32,3.2754962038715885e-30
ENSG00000186854,5.7075796,2.226769,1.1459414973061653e-08,8.192312377680606e-07
ENSG00000160712,3.53566,2.2080033,0.0004067577446654,0.0157010730530352
ENSG00000233355,3.1712906,2.1984797,0.0015176319410381,0.04916776591405
ENSG00000136111,3.4460316,2.1716492,0.0005688841315215,0.0209492889642055
ENSG00000142546,17.472652,2.1411219,2.3148211729245908e-68,6.552580661620075e-66
ENSG00000198520,3.2087862,2.1289208,0.0013329652848456,0.0440507301208894
ENSG00000081059,10.910006,2.0531561,1.0325046896501931e-27,1.7430669531781336e-25
ENSG00000074966,5.7250204,2.0021966,1.034212650659044e-08,7.431480851812577e-07
ENSG00000245954,6.037197,1.9948891,1.568140865445776e-09,1.217329075159347e-07
ENSG00000152558,17.332773,1.9489739,2.6617539525937914e-67,7.385444828464198e-65
ENSG00000170222,3.8852305,1.9078414,0.0001022327884653,0.0044976007283411
ENSG00000145287,14.387385,1.887749,6.20994854407764e-47,1.381171412692316e-44
ENSG00000139193,11.018813,1.8301524,3.101223881630684e-28,5.299310857245018e-26
ENSG00000241343,30.970232,1.8175749,1.3571512124994341e-210,5.433257939869163e-207
ENSG00000262202,3.8046565,1.7937609,0.0001420011497404,0.0060945246419163
ENSG00000111716,25.837067,1.7811781,3.4005113286047985e-147,2.2689507017338295e-144
ENSG00000115687,3.3251204,1.7613465,0.0008838035958782,0.030729171179766
ENSG00000154229,3.166139,1.7548743,0.0015447703380277,0.0497188582883992
ENSG00000035115,4.9083447,1.6971563,9.184836286246308e-07,5.340162906343704e-05
ENSG00000166405,3.4983149,1.6706824,0.0004682081193087,0.0177072393191741
ENSG00000123179,5.719084,1.6283926,1.0710002456143396e-08,7.676140890817457e-07
ENSG00000272211,5.1956067,1.6162639,2.0405319261280646e-07,1.2679349600401967e-05
ENSG00000204472,4.3365026,1.6157604,1.4476788327721624e-05,0.0007362931326607
ENSG00000204387,13.783825,1.612389,3.1891630297908676e-43,6.770689753549944e-41
ENSG00000107833,3.2450967,1.5902218,0.001174107225149,0.0394522552488943
ENSG00000157978,5.1229153,1.5869857,3.008478692411551e-07,1.83681060732334e-05
ENSG00000187109,18.072771,1.5783328,5.222321640755026e-73,1.540529912215988e-70
ENSG00000214113,3.746275,1.5693315,0.0001794799055987,0.0075183032503735
ENSG00000070718,5.1558557,1.5537102,2.524750806603286e-07,1.558449704939438e-05
ENSG00000167642,3.6611192,1.5393162,0.0002511157638892,0.0101725352435048
ENSG00000184557,9.061307,1.5181932,1.2889682731536322e-19,1.815178235520472e-17
ENSG00000197943,3.5535722,1.5084983,0.0003800370449172,0.014710163186135
ENSG00000104408,20.134775,1.5021555,3.6596793544937356e-90,1.3148571055170826e-87
ENSG00000111913,9.23706,1.4746304,2.533641762554109e-20,3.6411680386572494e-18
ENSG00000245164,8.640504,1.4653966,5.596561572208219e-18,7.468478166645863e-16
ENSG00000164300,4.3742056,1.4579087,1.21875366908454e-05,0.0006266853728885
ENSG00000241837,11.584444,1.4577101,4.941621900950257e-31,8.764810895710758e-29
ENSG00000204131,3.4948478,1.4296173,0.0004743321106211,0.0179146672076123
ENSG00000103194,4.5935035,1.4268624,4.358655632637779e-06,0.0002371785736874
ENSG00000182774,30.530327,1.4202427,1.0318360664837462e-204,3.2129082141267226e-201
ENSG00000277734,15.853904,1.3984667,1.3211220995883302e-56,3.396617038427832e-54
ENSG00000171490,11.599539,1.3851893,4.1430323148680605e-31,7.395180738335193e-29
ENSG00000143443,5.139043,1.379261,2.761415877310644e-07,1.69334613885675e-05
ENSG00000178035,6.6108437,1.3702819,3.821358921176693e-11,3.421398159969829e-09
ENSG00000125691,25.122992,1.3643062,2.789418049902332e-139,1.5634130286092586e-136
ENSG00000181896,3.1848624,1.35808,0.0014482288357989,0.047137241456944
ENSG00000105373,22.190207,1.342508,4.270334913460014e-109,1.9945310935800567e-106
ENSG00000180817,10.60363,1.3171932,2.866327562645875e-26,4.6164346905510356e-24
ENSG00000102096,8.1605215,1.2996393,3.335818391734917e-16,4.1364148057512975e-14
ENSG00000117602,5.604863,1.2974389,2.08419268525508e-08,1.4457281141482266e-06
ENSG00000171843,3.1871507,1.2774838,0.0014368183532674,0.0468202296883349
ENSG00000108561,9.97493,1.2674403,1.96239698616521e-23,3.0216600626535078e-21
ENSG00000179144,13.683681,1.2615627,1.270931643674662e-42,2.6579543568909494e-40
ENSG00000143110,6.031371,1.246285,1.6257453147292212e-09,1.2585604060765664e-07
ENSG00000008988,27.466085,1.2240541,4.464313044828936e-166,4.468139598867361e-163
ENSG00000169100,21.0433,1.2176899,2.633951543537777e-98,1.0251924730014259e-95
ENSG00000182568,4.5390067,1.2006575,5.651978196877129e-06,0.0003016972133129
ENSG00000166441,29.881683,1.1903193,3.40430755660666e-196,7.950192913862086e-193
ENSG00000104964,12.803847,1.1645977,1.5602558144051114e-37,3.101036095240344e-35
ENSG00000149311,6.6995544,1.1560494,2.090556542658728e-11,1.933523318530303e-09
ENSG00000265681,17.510214,1.1472338,1.1974408947332495e-68,3.424192207551488e-66
ENSG00000133574,10.627079,1.1405673,2.2298745717747984e-26,3.612139017307338e-24
ENSG00000106588,6.460972,1.1399769,1.0403271186959678e-10,8.861436831105106e-09
ENSG00000214026,3.4749725,1.1347886,0.0005109059718641,0.0190901719406953
ENSG00000139679,3.828483,1.1217206,0.000128935483365,0.005601996877244
ENSG00000181163,22.14108,1.1167619,1.2715316156215846e-108,5.841541310849064e-106
ENSG00000113328,5.5335913,1.0970224,3.137396635786581e-08,2.128871751120657e-06
ENSG00000157303,3.9759183,1.0919646,7.010817848246177e-05,0.0031740090368215
ENSG00000106560,5.640623,1.0867251,1.6943568077669312e-08,1.184106114235922e-06
ENSG00000198168,6.006131,1.0855806,1.900022385023944e-09,1.4668382181242702e-07
ENSG00000100129,11.632283,1.0829225,2.824406387429897e-31,5.073792602649706e-29
ENSG00000185262,3.405909,1.08148,0.0006594413610176,0.0239070953443194
ENSG00000130741,7.082442,1.0758568,1.416361614644587e-12,1.4329284436389859e-10
ENSG00000071082,31.39111,1.0665541,2.6755791439467676e-216,1.874510748249105e-212
ENSG00000156976,14.866992,1.0505466,5.398477545451449e-50,1.2713187792750536e-47
ENSG00000147604,32.37068,1.0494851,7.099437312546946e-230,9.94773156234078e-226
ENSG00000196683,21.069231,1.0479548,1.5238438867656692e-98,6.100600154674445e-96
ENSG00000179715,3.6467185,1.0383375,0.0002656106098424,0.0106941717955976
ENSG00000137193,8.182029,1.0357499,2.791050191839158e-16,3.4762840256044694e-14
ENSG00000269893,10.275163,1.032547,9.119069860794822e-25,1.4276693507201905e-22
ENSG00000229807,5.573086,1.0283716,2.50266426898164e-08,1.714783948018129e-06
ENSG00000105202,7.247024,1.0145208,4.2602813049446173e-13,4.5395484140596177e-11
ENSG00000174444,28.070238,1.0085186,2.262101200320178e-173,2.756222784250986e-170
